week,cumu_unvaccinated,cumu_vaccinated
2021/9/27,,"76,290,539"
2021/10/4,,78818964
2021/10/11,,82135808
2021/10/18,,87415722
2021/11/1,,91691961
2021/11/8,,93962514
2021/11/15,29302363,95313931
2021/11/22,29062027,96072984
2021/11/29,28759065,96741773
2021/12/6,28606220,97032592
2021/12/13,28484772,97272349
2021/12/20,28327379,97547878
2021/12/27,27359784,98517946
2022/1/3,27297201,98602649
2022/1/10,27190884,98761615
2022/1/17,27076389,98857632
2022/1/24,26984651,98945554
2022/1/31,26886379,99033502
