week,vaccine,vaccine_add,cumulative,add_cumu
2020/12/30,0,0,0,0
2021/1/3,2940,0,2940,0
2021/1/10,6727,0,9667,0
2021/1/17,19287,0,28954,0
2021/1/24,38833,0,67787,0
2021/1/31,28786,0,96573,0
2021/2/7,67734,0,164307,0
2021/2/14,64844,0,229151,0
2021/2/21,31821,0,260972,0
2021/2/28,9653,0,270625,0
2021/3/7,14061,0,284686,0
2021/3/14,12448,0,297134,0
2021/3/21,11167,0,308301,0
2021/3/28,13168,0,321469,0
2021/4/4,9513,0,330982,0
2021/4/11,13262,0,344244,0
2021/4/18,14532,0,358776,0
2021/4/25,14783,0,373559,0
2021/5/2,17431,0,390990,0
2021/5/9,31970,0,422960,0
2021/5/16,97021,0,519981,0
2021/5/23,139158,0,659139,0
2021/5/30,304118,0,963257,0
2021/6/6,704504,0,1667761,0
2021/6/13,1057541,0,2725302,0
2021/6/20,1262803,0,3988105,0
2021/6/27,1389401,0,5377506,0
2021/7/4,1325118,0,6702624,0
2021/7/11,1024205,0,7726829,0
2021/7/18,753932,0,8480761,0
2021/7/25,504877,0,8985638,0
2021/8/1,295060,0,9280698,0
2021/8/8,251407,0,9532105,0
2021/8/15,199821,0,9731926,0
2021/8/22,160539,0,9892465,0
2021/8/29,138538,0,10031003,0
2021/9/5,121634,0,10152637,0
2021/9/12,127933,0,10280570,0
2021/9/19,156981,0,10437551,0
2021/9/26,146016,0,10583567,0
2021/10/3,124141,0,10707708,0
2021/10/10,107400,0,10815108,0
2021/10/17,103123,0,10918231,0
2021/10/24,88791,0,11007022,0
2021/10/31,62341,0,11069363,0
2021/11/7,69360,0,11138723,0
2021/11/14,58431,0,11197154,0
2021/11/21,48486,0,11245640,0
2021/11/28,42385,783991,11288025,783991
2021/12/5,35345,290643,11323370,1074634
2021/12/12,32337,653110,11355707,1727744
2021/12/19,33153,1135880,11388860,2863624
2021/12/26,26658,798444,11415518,3662068
2022/1/2,46872,909548,11462390,4571616
2022/1/9,68074,869368,11530464,5440984
2022/1/16,64588,514361,11595052,5955345
2022/1/23,101493,361586,11696545,6316931
2022/1/30,105513,244101,11802058,6561032
2022/2/6,85581,165583,11887639,6726615
2022/2/13,67575,121256,11955214,6847871
